Country,City,Airport,Notes,Refs
Norway,Oslo,"Oslo Airport, Gardermoen",,
Poland,Kraków,Kraków John Paul II International Airport,,
Portugal,Faro,Faro Airport,,
Portugal,Funchal,Madeira Airport,,
Portugal,Lisbon,Lisbon Airport,Base,
Portugal,Ponta Delgada,João Paulo II Airport,,
Portugal,Porto,Porto Airport,Base,
Slovenia,Ljubljana,Ljubljana Jože Pučnik Airport,,
Spain,Alicante,Alicante–Elche Airport,,
Spain,Almería,Almería Airport,,
Spain,Barcelona,Barcelona–El Prat Airport,Base,
Spain,Bilbao,Bilbao Airport,,
Spain,Fuerteventura,Fuerteventura Airport,,
Spain,Granada,Federico García Lorca Airport,,
Spain,Ibiza,Ibiza Airport,Seasonal,
Spain,La Palma,La Palma Airport,,
Spain,Lanzarote,Lanzarote Airport,,
Spain,Las Palmas,Gran Canaria Airport,,
Spain,Menorca,Menorca Airport,Seasonal,
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,,
Spain,Málaga,Málaga-Costa del Sol Airport,,
Spain,Murcia,Murcia–San Javier Airport,,
Spain,OviedoGijón,Asturias Airport,,
Spain,Palma de Mallorca,Palma de Mallorca Airport,,
Spain,Santiago de Compostela,Santiago de Compostela Airport,,
Spain,Seville,Sevilla Airport,,
Spain,Tenerife,Tenerife South Airport,,
Spain,Valencia,Valencia Airport,,
Sweden,Gothenburg,Göteborg Landvetter Airport,,
Sweden,Östersund,Åre Östersund Airport,Seasonal,
Sweden,Stockholm,Stockholm Arlanda Airport,,
SwitzerlandFranceGermany,BaselMulhouseFreiburg,EuroAirport Basel Mulhouse Freiburg,Base,
Switzerland,Geneva,Geneva Airport,Base,
Switzerland,Zürich,Zurich Airport,,
Tunisia,Enfidha,Enfidha–Hammamet International Airport,Resumes 2 May 2020,[6]
Turkey,Antalya,Antalya Airport,Seasonal,
Turkey,BodrumMilas,Milas–Bodrum Airport,Seasonal,
Turkey,Dalaman,Dalaman Airport,Seasonal,
Turkey,İzmir,İzmir Adnan Menderes Airport,Seasonal,
United Kingdom,Aberdeen,Aberdeen Airport,,
United Kingdom,Belfast,Belfast International Airport,Base,
United Kingdom,Birmingham,Birmingham Airport,,
United Kingdom,Bournemouth,Bournemouth Airport,Seasonal,
United Kingdom,Bristol,Bristol Airport,Base,
United Kingdom,Edinburgh,Edinburgh Airport,Base,
United Kingdom,Glasgow,Glasgow Airport,Base,
United Kingdom,Inverness,Inverness Airport,Base,
United Kingdom,Isle of Man,Isle of Man Airport,,
United Kingdom,Liverpool,Liverpool John Lennon Airport,Base,
United Kingdom,London,Gatwick Airport,Base,
United Kingdom,London,London Southend Airport,Base,
United Kingdom,London,London Stansted Airport,Base,
United Kingdom,London,Luton Airport,Base,
United Kingdom,Manchester,Manchester Airport,Base,
United Kingdom,Newcastle upon Tyne,Newcastle International Airport,Base,
Southampton,Southampton Airport,Seasonal,,
